clientId,clientsName,clientsLastName,age,gender,weight,height,bodyFat,bloodPressureSist,bloodPressureDiast,cholesterol,smoker,drinking,disability,previousPathology,postalCode
000-50-0887,Jaime,Ricart,82,woman,69.0392,173.338,38,112,72,172.63,true,7,true,true,46020
000-60-0272,Cecilio,Sosa,21,man,93.4487,161.675,20,127,93,216.663,true,3,true,false,46017
003-70-2489,Guadalupe,Cabañas,63,man,79.7022,168.484,16,96,95,272.042,false,1,true,true,46006
009-52-6696,Lorenza,Busquets,49,woman,104.49,192.699,30,116,102,248.343,false,5,false,true,46005
013-57-0698,Sandalio,Cabo,29,man,93.6291,160.476,29,177,74,199.183,true,2,true,true,46022
042-04-9085,Delfina,Franch,74,woman,66.8289,158.864,35,149,109,227.258,true,6,false,false,46006
049-08-1934,Marcial,Bonet,29,man,93.7826,187.899,15,127,114,238.954,true,0,false,false,46021
053-92-5707,Chucho,Sosa,82,man,84.08,162.932,24,151,92,180.788,false,5,false,false,46015
054-05-6447,Marita,Paz,78,man,89.0455,208.84,24,140,91,229.854,true,3,false,true,46024
054-54-3972,América,Rincón,31,man,91.228,152.92,25,178,80,224.386,false,2,true,false,46021
076-67-1233,Paloma,Zapata,50,man,79.3369,173.869,31,178,98,230.19,false,1,true,true,46020
081-23-9853,Renata,Lumbreras,26,woman,68.0352,182.961,32,137,109,267.094,false,7,true,true,46020
084-30-6873,Amaya,Uriarte,73,woman,84.4943,202.832,17,168,100,218.064,true,0,true,true,46010
100-56-7617,Atilio,Serna,25,woman,87.9821,203.172,40,138,71,214.677,false,6,false,true,46013
107-42-0541,Inés,Patiño,66,woman,73.5223,173.348,24,108,89,239.28,false,5,true,false,46003
110-31-6259,Xavier,Lluch,72,woman,106.685,208.281,11,143,119,186.529,true,3,false,true,46018
124-02-9849,Nélida,Mármol,84,woman,97.136,176.914,44,93,91,260.812,true,6,false,false,46022
132-27-8751,Teófilo,Guardiola,19,woman,83.8614,185.504,25,173,99,229.731,false,1,true,false,46006
137-01-2929,Lucio,Ripoll,84,woman,67.3708,172.41,24,166,74,209.361,true,7,false,false,46012
140-25-5486,Nazaret,Doménech,27,woman,77.2599,190.151,29,96,77,223.325,true,7,false,false,46014
142-22-1382,Nilda,Sebastián,36,woman,72.9839,177.207,23,130,82,207.661,true,4,false,false,46018
145-82-2374,Javier,Nogués,26,man,82.0724,206.687,16,167,116,265.338,false,2,true,false,46010
159-28-9727,Eleuterio,Garcia,77,man,95.3738,186.258,30,126,106,248.193,false,0,false,false,46011
164-52-3733,Apolinar,Marquez,75,woman,102.169,154.574,29,148,98,204.324,false,1,false,true,46020
176-55-4573,Mariana,Girón,18,man,79.7105,173.999,32,155,117,285.344,false,1,false,false,46001
194-18-9856,Pili,Montero,42,woman,85.5916,203.795,6,139,110,234.419,false,5,false,true,46002
205-47-4894,Epifanio,Marquez,48,man,104.237,202.966,5,172,89,285.315,true,5,true,false,46003
212-36-7461,Esther,Campoy,23,man,82.7724,173.738,37,111,106,255.289,true,4,true,true,46005
213-60-6306,Jorge,Verdugo,17,man,75.2868,187.107,18,141,119,226.73,false,3,false,true,46012
221-83-2468,Ciriaco,Bastida,73,woman,82.0509,191.719,28,113,102,260.144,false,4,false,false,46019
225-65-9188,René,Llanos,76,woman,106.473,158.905,13,94,81,250.727,true,2,true,true,46024
247-54-2478,Marcela,Echevarría,50,woman,96.8291,185.594,30,174,92,230.865,true,5,true,false,46014
254-14-4162,Vasco,Riquelme,46,woman,86.3395,206.862,6,157,112,289.034,false,5,false,false,46003
257-75-2768,Maura,Quesada,26,man,109.964,154.21,15,173,75,196.167,true,5,true,false,46013
267-07-3441,Catalina,Alberdi,69,woman,106.584,191.12,29,115,81,162.717,true,2,true,true,46003
282-55-2766,Susana,Marco,53,woman,104.892,206.305,18,135,101,253.899,false,3,false,false,46013
288-80-3184,Venceslás,Artigas,22,woman,93.7835,156.277,27,118,71,225.609,true,7,true,true,46025
320-59-1740,Ariel,Calderon,17,woman,107.774,154.481,44,174,104,251.322,true,6,false,false,46006
341-46-4843,Berta,Díaz,43,woman,67.86,201.151,17,150,96,257.695,true,4,false,true,46024
361-05-1561,Irene,Escalona,39,woman,72.8854,202.01,23,124,108,258.063,true,7,true,true,46011
398-33-1736,Estefanía,Moll,59,woman,76.2242,180.141,11,132,117,205.822,true,4,true,true,46008
407-92-9289,Anna,Cobos,20,man,96.6278,163.402,42,91,81,220.382,false,5,false,true,46019
409-24-1920,Cirino,Trillo,39,man,90.975,190.869,8,172,102,186.176,true,7,true,true,46005
415-55-0461,Odalis,Gisbert,84,man,98.1008,200.449,44,168,105,260.454,false,5,true,true,46018
438-68-9808,Samuel,Tello,37,woman,70.5892,150.978,31,93,93,237.27,false,2,true,true,46001
441-07-2039,Reynaldo,Rueda,48,woman,76.5571,172.153,29,138,114,161.416,true,3,true,false,46003
460-58-2963,Florencio,Alvarez,40,woman,90.3954,161.472,21,105,74,279.642,false,1,true,true,46011
465-95-1328,Marcos,Rozas,52,man,72.4026,164.553,31,92,111,171.467,false,1,true,true,46013
467-45-0083,Narciso,Ledesma,54,woman,86.7161,159.927,40,109,88,271.677,false,2,true,false,46020
474-36-3218,Aurora,Martin,19,man,73.2738,180.99,25,144,95,259.315,false,7,false,false,46004
481-86-5311,Fermín,Ródenas,21,man,93.8809,186.727,3,114,92,168.524,true,6,false,true,46013
487-39-1117,Encarnacion,Delgado,60,man,86.2484,168.605,22,157,83,222.582,false,1,true,true,46009
504-86-0229,Crescencia,Asenjo,43,woman,108.262,158.203,20,129,74,260.065,false,0,false,false,46009
507-42-6256,Florinda,Verdugo,60,woman,96.301,207.801,6,113,101,153.814,false,0,false,true,46006
536-71-6249,Fito,Barceló,32,man,93.1292,209.73,7,156,109,269.801,true,1,false,true,46005
550-98-4753,Sebastian,Álvarez,57,man,99.2443,207.328,24,141,104,264.703,false,0,false,true,46020
592-51-3380,Virgilio,Martínez,54,man,97.2355,181.483,22,90,72,170.637,false,4,false,true,46006
628-78-3833,Ana,Alcalde,77,man,70.7758,179.622,12,126,105,158.329,true,6,false,true,46024
629-72-9383,Ramona,Sanmiguel,41,man,80.6829,173.755,22,125,70,275.23,false,4,true,false,46003
632-11-4419,Carla,Luz,55,woman,94.4574,187.901,42,165,119,190.607,true,3,false,false,46025
633-86-1460,Anabel,Blázquez,78,woman,73.362,192.691,23,167,113,183.433,true,6,true,true,46011
639-90-8748,Rocío,Morillo,64,woman,61.5833,153.736,35,107,94,241.125,true,4,true,true,46009
657-67-0475,Benjamín,Lopez,43,woman,82.4362,190.097,10,129,96,283.449,true,6,false,false,46023
665-72-7037,Óscar,Diez,30,woman,89.3669,168.7,26,168,111,192.733,true,2,true,true,46023
673-97-6330,Carlos,Morell,57,woman,101.249,170.65,4,99,116,199.027,false,1,true,false,46018
684-77-1347,Paca,Serrano,32,woman,72.2004,195.115,41,92,114,201.781,false,3,true,true,46017
686-90-6546,Marina,Galan,64,woman,73.1879,201.29,23,167,102,288.245,true,0,true,true,46020
697-54-9643,Fabiana,Viana,49,woman,82.1414,180.774,7,129,103,234.157,true,6,true,true,46013
698-35-1510,Rosalinda,Jerez,30,woman,96.9465,195.999,22,162,81,262.935,false,1,false,true,46020
702-67-9581,Lucas,Plaza,69,man,91.2606,181.896,34,131,108,273.932,true,7,true,false,46003
718-74-6665,Carmelita,Escribano,73,man,62.8285,189.19,12,130,100,174.57,true,6,true,true,46025
726-29-2584,Amarilis,Guitart,66,man,86.407,158.749,35,148,80,204.42,false,7,true,true,46012
734-50-4530,Leonel,Sureda,70,woman,97.9967,152.99,30,102,117,154.822,false,1,false,true,46017
741-54-6011,Fabio,Castelló,71,woman,71.2894,171.34,7,117,87,266.955,true,4,false,false,46012
758-03-9606,Ambrosio,Juárez,16,woman,107.754,199.988,9,168,100,287.178,true,0,true,false,46009
758-86-0517,Clotilde,Armas,53,man,68.2163,176.6,34,168,82,213.974,false,5,false,true,46002
767-57-5860,Eloy,Izaguirre,38,woman,70.0244,185.807,24,177,116,176.202,true,2,true,true,46001
771-04-3424,Rosalina,Merino,43,man,93.9795,156.751,34,142,108,245.492,true,6,false,false,46022
782-89-8250,Tamara,Gimeno,28,man,86.5428,192.267,8,96,109,234.023,true,7,true,true,46017
785-69-8490,Maricruz,Gabaldón,18,woman,89.7753,192.951,40,140,72,201.604,false,5,true,false,46009
790-58-3644,Mariano,Company,47,man,64.4132,167.077,30,119,105,163.16,true,4,true,true,46002
795-51-1294,Che,Cabello,45,man,101.998,180.669,26,150,115,214.75,true,2,true,true,46004
798-24-3885,Tristán,Francisco,76,woman,73.878,192.132,24,132,81,247.248,true,6,false,true,46025
815-44-2532,Florencio,Bellido,67,man,73.9801,194.827,10,168,114,260.257,false,6,true,false,46025
840-55-8052,Pilar,Puerta,18,man,64.5043,194.8,9,131,111,224.08,true,3,false,true,46014
858-42-8191,Gastón,Lucena,23,man,109.443,186.864,33,135,75,290.001,false,2,true,true,46018
861-52-5289,Donato,Duran,21,man,79.221,157.173,13,135,90,273.568,true,3,true,false,46021
883-64-4724,Alfredo,Montes,35,woman,65.4283,199.324,9,153,76,287.249,false,5,false,false,46010
889-43-1805,Antonio,Raya,83,man,64.3901,168.147,11,96,82,235.244,false,6,true,false,46008
892-73-6685,Modesta,Sala,59,man,91.5545,177.524,7,101,86,236.304,false,1,true,true,46014
905-36-9379,Cebrián,Vazquez,78,woman,86.625,171.456,25,110,99,230.222,true,2,false,false,46003
912-36-9519,Manu,Losa,68,man,108.208,185.266,24,122,87,288.319,true,3,false,false,46003
912-54-2912,Celestina,Espinosa,28,man,74.7752,191.734,27,122,87,287.273,true,2,false,true,46023
913-83-0668,Remedios,Corral,49,woman,104.75,156.82,37,149,73,268.293,false,5,true,false,46008
941-60-9409,Asunción,Mora,71,man,83.5154,167.856,12,115,106,280.522,false,4,false,false,46007
943-59-3387,Buenaventura,Solana,21,man,79.8516,163.148,16,156,109,153.255,false,3,true,true,46005
950-17-5570,Hortensia,Giralt,40,woman,91.3582,154.97,30,178,87,299.1,false,5,true,false,46020
962-16-9890,Lorena,Berenguer,26,man,88.8176,155.273,38,102,73,203.312,false,4,false,true,46017
977-01-0310,Lilia,Cano,46,man,87.2622,155.342,10,136,114,257.514,false,5,false,true,46012
979-95-0543,Teófila,Llanos,71,woman,73.751,158.555,44,120,76,291.065,true,1,true,true,46021
