clientId,clientsName,clientsLastName,km,kmBike,score,Fecha
883-64-4724,Alfredo,Montes,0,0,0,2022-02-01 00:00:00
883-64-4724,Alfredo,Montes,0,0,0,2022-02-02 00:00:00
726-29-2584,Amarilis,Guitart,0,0.63,0,2022-02-01 00:00:00
726-29-2584,Amarilis,Guitart,0,7.892,0,2022-02-02 00:00:00
084-30-6873,Amaya,Uriarte,0,2.101,0,2022-02-01 00:00:00
084-30-6873,Amaya,Uriarte,0,9.983,0,2022-02-02 00:00:00
758-03-9606,Ambrosio,Juárez,0,0,0,2022-02-01 00:00:00
758-03-9606,Ambrosio,Juárez,0,0,0,2022-02-02 00:00:00
054-54-3972,América,Rincón,0,1.427,0,2022-02-01 00:00:00
054-54-3972,América,Rincón,0,6.093,0,2022-02-02 00:00:00
628-78-3833,Ana,Alcalde,0,0,0,2022-02-01 00:00:00
628-78-3833,Ana,Alcalde,0,0,0,2022-02-02 00:00:00
633-86-1460,Anabel,Blázquez,0,2.484,0,2022-02-01 00:00:00
633-86-1460,Anabel,Blázquez,0,3.539,0,2022-02-02 00:00:00
407-92-9289,Anna,Cobos,0,1.188,0,2022-02-01 00:00:00
407-92-9289,Anna,Cobos,0,2.162,0,2022-02-02 00:00:00
889-43-1805,Antonio,Raya,0,0.459,0,2022-02-01 00:00:00
889-43-1805,Antonio,Raya,0,4.301,0,2022-02-02 00:00:00
164-52-3733,Apolinar,Marquez,1.189,0,0,2022-02-01 00:00:00
164-52-3733,Apolinar,Marquez,4.121,0,0,2022-02-02 00:00:00
320-59-1740,Ariel,Calderon,0,0.529,0,2022-02-01 00:00:00
320-59-1740,Ariel,Calderon,0,3.986,0,2022-02-02 00:00:00
941-60-9409,Asunción,Mora,0,0,0,2022-02-01 00:00:00
941-60-9409,Asunción,Mora,0,0,0,2022-02-02 00:00:00
100-56-7617,Atilio,Serna,0,0,0,2022-02-01 00:00:00
100-56-7617,Atilio,Serna,0,0,0,2022-02-02 00:00:00
474-36-3218,Aurora,Martin,0,0,0,2022-02-01 00:00:00
474-36-3218,Aurora,Martin,0,0,0,2022-02-02 00:00:00
657-67-0475,Benjamín,Lopez,0,0,0,2022-02-01 00:00:00
657-67-0475,Benjamín,Lopez,0,0,0,2022-02-02 00:00:00
341-46-4843,Berta,Díaz,0,2.774,0,2022-02-01 00:00:00
341-46-4843,Berta,Díaz,0,1.785,0,2022-02-02 00:00:00
943-59-3387,Buenaventura,Solana,0,0,0,2022-02-01 00:00:00
943-59-3387,Buenaventura,Solana,0,0,0,2022-02-02 00:00:00
632-11-4419,Carla,Luz,0,7.309,0,2022-02-01 00:00:00
632-11-4419,Carla,Luz,0,3.028,0,2022-02-02 00:00:00
673-97-6330,Carlos,Morell,0,0,0,2022-02-01 00:00:00
673-97-6330,Carlos,Morell,0,0,0,2022-02-02 00:00:00
718-74-6665,Carmelita,Escribano,0,2.498,0,2022-02-01 00:00:00
718-74-6665,Carmelita,Escribano,0,3.115,0,2022-02-02 00:00:00
267-07-3441,Catalina,Alberdi,2.982,0,0,2022-02-01 00:00:00
267-07-3441,Catalina,Alberdi,3.667,0,0,2022-02-02 00:00:00
905-36-9379,Cebrián,Vazquez,0,0,0,2022-02-01 00:00:00
905-36-9379,Cebrián,Vazquez,0,0,0,2022-02-02 00:00:00
000-60-0272,Cecilio,Sosa,0,0.983,0,2022-02-01 00:00:00
000-60-0272,Cecilio,Sosa,0,4.671,0,2022-02-02 00:00:00
912-54-2912,Celestina,Espinosa,0,0,0,2022-02-01 00:00:00
912-54-2912,Celestina,Espinosa,0,0,0,2022-02-02 00:00:00
795-51-1294,Che,Cabello,0,2.826,0,2022-02-01 00:00:00
795-51-1294,Che,Cabello,0,6.739,0,2022-02-02 00:00:00
053-92-5707,Chucho,Sosa,0,0,0,2022-02-01 00:00:00
053-92-5707,Chucho,Sosa,0,0,0,2022-02-02 00:00:00
221-83-2468,Ciriaco,Bastida,1.786,0,0,2022-02-01 00:00:00
221-83-2468,Ciriaco,Bastida,4.295,0,0,2022-02-02 00:00:00
409-24-1920,Cirino,Trillo,0,5.803,0,2022-02-01 00:00:00
409-24-1920,Cirino,Trillo,0,7.253,0,2022-02-02 00:00:00
758-86-0517,Clotilde,Armas,1.078,0,0,2022-02-01 00:00:00
758-86-0517,Clotilde,Armas,9.177,0,0,2022-02-02 00:00:00
504-86-0229,Crescencia,Asenjo,0,0,0,2022-02-01 00:00:00
504-86-0229,Crescencia,Asenjo,0,0,0,2022-02-02 00:00:00
042-04-9085,Delfina,Franch,0,0,0,2022-02-01 00:00:00
042-04-9085,Delfina,Franch,0,0,0,2022-02-02 00:00:00
